ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,2016-10-31,23:30,Sacramento Kings @ Atlanta Hawks,Sacramento Kings,Atlanta Hawks,3.52,1.33,Atlanta Hawks,Atlanta Hawks,0.66,N,95,106,Atlanta Hawks,1.33
1,2016-10-31,23:30,Chicago Bulls @ Brooklyn Nets,Chicago Bulls,Brooklyn Nets,1.35,3.4,Chicago Bulls,Chicago Bulls,0.695,N,118,88,Chicago Bulls,3.4
2,2016-10-31,23:30,Denver Nuggets @ Toronto Raptors,Denver Nuggets,Toronto Raptors,3.45,1.34,Toronto Raptors,Toronto Raptors,0.926,N,102,105,Toronto Raptors,1.34
3,2016-11-01,22:00,Houston Rockets @ Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,5.21,1.19,Cleveland Cavaliers,Cleveland Cavaliers,0.703,N,120,128,Cleveland Cavaliers,1.19
4,2016-11-01,23:00,Los Angeles Lakers @ Indiana Pacers,Los Angeles Lakers,Indiana Pacers,4.58,1.23,Indiana Pacers,Indiana Pacers,0.737,N,108,115,Indiana Pacers,1.23
5,2016-11-01,23:00,Orlando Magic @ Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,1.47,2.81,Orlando Magic,Philadelphia 76ers,0.549,Y,103,101,Orlando Magic,2.81
6,2016-11-01,23:30,New York Knicks @ Detroit Pistons,New York Knicks,Detroit Pistons,2.52,1.57,Detroit Pistons,Detroit Pistons,0.735,N,89,102,Detroit Pistons,1.57
7,2016-11-01,23:30,Sacramento Kings @ Miami Heat,Sacramento Kings,Miami Heat,2.46,1.6,Miami Heat,Miami Heat,0.642,N,96OT,108,Miami Heat,1.6
8,2016-11-02,23:00,Philadelphia 76ers @ Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,9.36,1.08,Charlotte Hornets,Charlotte Hornets,0.89,N,93,109,Charlotte Hornets,1.08
9,2016-11-02,23:00,Toronto Raptors @ Washington Wizards,Toronto Raptors,Washington Wizards,1.92,1.95,Toronto Raptors,Toronto Raptors,0.759,N,113,103,Toronto Raptors,1.95
10,2016-11-02,23:30,Los Angeles Lakers @ Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,7.4,1.12,Atlanta Hawks,Atlanta Hawks,0.764,N,123,116,Los Angeles Lakers,1.12
11,2016-11-02,23:30,Detroit Pistons @ Brooklyn Nets,Detroit Pistons,Brooklyn Nets,1.57,2.52,Detroit Pistons,Detroit Pistons,0.671,N,101,109,Brooklyn Nets,2.52
12,2016-11-02,23:30,Houston Rockets @ New York Knicks,Houston Rockets,New York Knicks,1.96,1.91,New York Knicks,Houston Rockets,0.704,Y,118,99,Houston Rockets,1.91
13,2016-11-03,23:00,Sacramento Kings @ Orlando Magic,Sacramento Kings,Orlando Magic,1.91,1.95,Sacramento Kings,Orlando Magic,0.519,Y,94,102,Orlando Magic,1.95
14,2016-11-04,23:00,Atlanta Hawks @ Washington Wizards,Atlanta Hawks,Washington Wizards,1.99,1.88,Washington Wizards,Washington Wizards,0.671,N,92,95,Washington Wizards,1.88
