ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
36,serie-a,2016-08-20,19:45,Juventus vs Fiorentina,Juventus,Fiorentina,1.5,4.05,8.04,Juventus,Juventus,0.619,N,2,1,Juventus,1.5
42,serie-a,2016-08-21,17:00,AC Milan vs Torino,AC Milan,Torino,1.9,3.47,4.43,AC Milan,AC Milan,0.544,N,3,2,AC Milan,1.9
45,serie-a,2016-08-21,19:45,Empoli vs Sampdoria,Empoli,Sampdoria,2.17,3.31,3.62,Empoli,Sampdoria,0.422,Y,0,1,Sampdoria,3.62
46,serie-a,2016-08-21,19:45,Genoa vs Cagliari,Genoa,Cagliari,1.99,3.43,4.1,Genoa,Genoa,0.494,N,3,1,Genoa,1.99
47,serie-a,2016-08-21,19:45,Bologna vs Crotone,Bologna,Crotone,1.75,3.45,5.66,Bologna,Bologna,0.604,N,1,0,Bologna,1.75
48,serie-a,2016-08-21,19:45,Palermo vs Sassuolo,Palermo,Sassuolo,3.32,3.13,2.39,Sassuolo,Palermo,0.387,Y,0,1,Sassuolo,2.39
49,serie-a,2016-08-21,19:45,Pescara vs Napoli,Pescara,Napoli,8.29,4.6,1.43,Napoli,Napoli,0.626,N,2,2,Draw,4.6
50,serie-a,2016-08-21,19:45,Chievo vs Inter Milan,Chievo,Inter Milan,3.96,3.27,2.08,Inter Milan,Chievo,0.408,Y,2,0,Chievo,3.96
51,serie-a,2016-08-21,19:45,Atalanta vs Lazio Roma,Atalanta,Lazio Roma,2.88,3.18,2.64,Lazio Roma,Atalanta,0.428,Y,3,4,Lazio Roma,2.64
70,serie-a,2016-08-27,17:00,Lazio Roma vs Juventus,Lazio Roma,Juventus,4.18,3.23,2.04,Juventus,Juventus,0.409,N,0,1,Juventus,2.04
81,serie-a,2016-08-27,19:45,Napoli vs AC Milan,Napoli,AC Milan,1.61,4.01,5.94,Napoli,Napoli,0.478,N,4,2,Napoli,1.61
89,serie-a,2016-08-28,17:00,Inter Milan vs Palermo,Inter Milan,Palermo,1.31,5.47,10.69,Inter Milan,Inter Milan,0.655,N,1,1,Draw,5.47
93,serie-a,2016-08-28,19:45,Crotone vs Genoa,Crotone,Genoa,6.13,3.89,1.61,Genoa,Genoa,0.468,N,1,3,Genoa,1.61
94,serie-a,2016-08-28,19:45,Udinese vs Empoli,Udinese,Empoli,2.05,3.33,3.95,Udinese,Udinese,0.564,N,2,0,Udinese,2.05
95,serie-a,2016-08-28,19:45,Torino vs Bologna,Torino,Bologna,1.89,3.37,4.65,Torino,Torino,0.536,N,5,1,Torino,1.89
96,serie-a,2016-08-28,19:45,Cagliari vs AS Roma,Cagliari,AS Roma,5.18,4.09,1.66,AS Roma,AS Roma,0.493,N,2,2,Draw,4.09
97,serie-a,2016-08-28,19:45,Fiorentina vs Chievo,Fiorentina,Chievo,1.65,3.7,6.11,Fiorentina,Fiorentina,0.502,N,1,0,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Sampdoria vs Atalanta,Sampdoria,Atalanta,2.49,3.22,3.06,Sampdoria,Atalanta,0.389,Y,2,1,Sampdoria,2.49
118,serie-a,2016-09-10,17:00,Juventus vs Sassuolo,Juventus,Sassuolo,1.31,5.26,11.74,Juventus,Juventus,0.695,N,3,1,Juventus,1.31
129,serie-a,2016-09-10,19:45,Palermo vs Napoli,Palermo,Napoli,8.88,5.07,1.37,Napoli,Napoli,0.613,N,0,3,Napoli,1.37
131,serie-a,2016-09-11,11:30,Bologna vs Cagliari,Bologna,Cagliari,2.2,3.24,3.6,Bologna,Bologna,0.476,N,2,1,Bologna,2.2
132,serie-a,2016-09-11,14:00,Atalanta vs Torino,Atalanta,Torino,2.62,3.22,2.87,Atalanta,Atalanta,0.499,N,2,1,Atalanta,2.62
133,serie-a,2016-09-11,14:00,AC Milan vs Udinese,AC Milan,Udinese,1.58,4.11,6.02,AC Milan,AC Milan,0.583,N,0,1,Udinese,6.02
134,serie-a,2016-09-11,14:00,AS Roma vs Sampdoria,AS Roma,Sampdoria,1.37,5.15,8.68,AS Roma,AS Roma,0.625,N,3,2,AS Roma,1.37
135,serie-a,2016-09-11,14:00,Chievo vs Lazio Roma,Chievo,Lazio Roma,3.51,3.18,2.27,Lazio Roma,Lazio Roma,0.392,N,1,1,Draw,3.18
143,serie-a,2016-09-11,19:45,Pescara vs Inter Milan,Pescara,Inter Milan,4.48,3.51,1.88,Inter Milan,Inter Milan,0.567,N,1,2,Inter Milan,1.88
147,serie-a,2016-09-16,19:45,Sampdoria vs AC Milan,Sampdoria,AC Milan,3.13,3.29,2.4,AC Milan,AC Milan,0.42,N,0,1,AC Milan,2.4
162,serie-a,2016-09-17,17:00,Lazio Roma vs Pescara,Lazio Roma,Pescara,1.5,4.4,6.83,Lazio Roma,Lazio Roma,0.676,N,3,0,Lazio Roma,1.5
172,serie-a,2016-09-17,19:45,Napoli vs Bologna,Napoli,Bologna,1.26,6.0,12.22,Napoli,Napoli,0.605,N,3,1,Napoli,1.26
174,serie-a,2016-09-18,11:30,Udinese vs Chievo,Udinese,Chievo,2.27,3.15,3.53,Udinese,Udinese,0.468,N,1,2,Chievo,3.53
176,serie-a,2016-09-18,14:00,Torino vs Empoli,Torino,Empoli,1.68,3.69,5.73,Torino,Torino,0.597,N,0,0,Draw,3.69
177,serie-a,2016-09-18,14:00,Crotone vs Palermo,Crotone,Palermo,2.96,3.15,2.59,Palermo,Crotone,0.471,Y,1,1,Draw,3.15
178,serie-a,2016-09-18,14:00,Cagliari vs Atalanta,Cagliari,Atalanta,2.42,3.27,3.09,Cagliari,Atalanta,0.411,Y,3,0,Cagliari,2.42
179,serie-a,2016-09-18,14:00,Sassuolo vs Genoa,Sassuolo,Genoa,2.39,3.22,3.19,Sassuolo,Sassuolo,0.367,N,2,0,Sassuolo,2.39
187,serie-a,2016-09-18,17:00,Inter Milan vs Juventus,Inter Milan,Juventus,4.63,3.41,1.88,Juventus,Juventus,0.462,N,2,1,Inter Milan,4.63
190,serie-a,2016-09-18,19:45,Fiorentina vs AS Roma,Fiorentina,AS Roma,2.99,3.41,2.42,AS Roma,AS Roma,0.409,N,1,0,Fiorentina,2.99
199,serie-a,2016-09-20,19:45,AC Milan vs Lazio Roma,AC Milan,Lazio Roma,2.26,3.32,3.37,AC Milan,AC Milan,0.475,N,2,0,AC Milan,2.26
202,serie-a,2016-09-21,17:30,Bologna vs Sampdoria,Bologna,Sampdoria,2.26,3.16,3.54,Bologna,Bologna,0.46,N,2,0,Bologna,2.26
216,serie-a,2016-09-21,19:45,Empoli vs Inter Milan,Empoli,Inter Milan,4.09,3.38,2.01,Inter Milan,Inter Milan,0.515,N,0,2,Inter Milan,2.01
217,serie-a,2016-09-21,19:45,Juventus vs Cagliari,Juventus,Cagliari,1.19,7.14,16.93,Juventus,Juventus,0.66,N,4,0,Juventus,1.19
218,serie-a,2016-09-21,19:45,Udinese vs Fiorentina,Udinese,Fiorentina,3.24,3.19,2.39,Fiorentina,Udinese,0.431,Y,2,2,Draw,3.19
219,serie-a,2016-09-21,19:45,AS Roma vs Crotone,AS Roma,Crotone,1.14,8.78,21.83,AS Roma,AS Roma,0.692,N,4,0,AS Roma,1.14
220,serie-a,2016-09-21,19:45,Genoa vs Napoli,Genoa,Napoli,4.86,3.79,1.75,Napoli,Napoli,0.453,N,0,0,Draw,3.79
221,serie-a,2016-09-21,19:45,Pescara vs Torino,Pescara,Torino,3.12,3.28,2.41,Torino,Torino,0.544,N,0,0,Draw,3.28
222,serie-a,2016-09-21,19:45,Chievo vs Sassuolo,Chievo,Sassuolo,2.33,3.13,3.43,Chievo,Chievo,0.572,N,2,1,Chievo,2.33
223,serie-a,2016-09-21,19:45,Atalanta vs Palermo,Atalanta,Palermo,1.56,4.04,6.62,Atalanta,Atalanta,0.663,N,0,1,Palermo,6.62
248,serie-a,2016-09-24,17:00,Palermo vs Juventus,Palermo,Juventus,14.16,6.19,1.24,Juventus,Juventus,0.678,N,0,1,Juventus,1.24
258,serie-a,2016-09-24,19:45,Napoli vs Chievo,Napoli,Chievo,1.39,4.78,9.25,Napoli,Napoli,0.59,N,2,0,Napoli,1.39
260,serie-a,2016-09-25,11:30,Torino vs AS Roma,Torino,AS Roma,3.48,3.49,2.14,AS Roma,AS Roma,0.406,N,3,1,Torino,3.48
261,serie-a,2016-09-25,14:00,Sassuolo vs Udinese,Sassuolo,Udinese,2.08,3.3,3.93,Sassuolo,Udinese,0.387,Y,1,0,Sassuolo,2.08
262,serie-a,2016-09-25,14:00,Lazio Roma vs Empoli,Lazio Roma,Empoli,1.52,4.15,7.19,Lazio Roma,Lazio Roma,0.64,N,2,0,Lazio Roma,1.52
263,serie-a,2016-09-25,14:00,Genoa vs Pescara,Genoa,Pescara,1.66,3.86,5.52,Genoa,Genoa,0.612,N,1,1,Draw,3.86
264,serie-a,2016-09-25,14:00,Inter Milan vs Bologna,Inter Milan,Bologna,1.47,4.53,7.26,Inter Milan,Inter Milan,0.545,N,1,1,Draw,4.53
272,serie-a,2016-09-25,19:45,Fiorentina vs AC Milan,Fiorentina,AC Milan,2.25,3.23,3.5,Fiorentina,Fiorentina,0.377,N,0,0,Draw,3.23
274,serie-a,2016-09-26,18:00,Crotone vs Atalanta,Crotone,Atalanta,4.4,3.35,1.94,Atalanta,Atalanta,0.581,N,1,3,Atalanta,1.94
275,serie-a,2016-09-26,20:00,Cagliari vs Sampdoria,Cagliari,Sampdoria,2.12,3.36,3.66,Cagliari,Cagliari,0.451,N,2,1,Cagliari,2.12
